,arrival_time,symbol,seqno,price,destination,wire_length
0,1473411962.167382,APPL,0,1623.0,D,75
1,1473411962.413131,APPL,0,1623.0,A,75
2,1473411962.542158,APPL,0,1623.0,C,75
3,1473411962.555594,APPL,0,1623.0,B,75
4,1473411963.112848,APPL,1,1649.0,D,75
5,1473411963.499451,APPL,1,1649.0,A,75
6,1473411963.590191,APPL,1,1649.0,C,75
7,1473411963.599473,APPL,1,1649.0,B,75
8,1473411964.328186,APPL,2,1642.0,B,75
9,1473411964.411783,APPL,2,1642.0,A,75
10,1473411964.527478,APPL,2,1642.0,C,75
11,1473411964.543972,APPL,2,1642.0,D,75
12,1473411965.345962,APPL,3,1636.0,D,75
13,1473411965.364084,APPL,3,1636.0,A,75
14,1473411965.591194,APPL,3,1636.0,C,75
15,1473411965.600693,APPL,3,1636.0,B,75
16,1473411966.149519,APPL,4,1669.0,D,75
17,1473411966.320074,APPL,4,1669.0,C,75
18,1473411966.586622,APPL,4,1669.0,B,75
19,1473411966.58968,APPL,4,1669.0,A,75
20,1473411967.170404,APPL,5,1639.0,D,75
21,1473411967.354888,APPL,5,1639.0,C,75
22,1473411967.534771,APPL,5,1639.0,B,75
23,1473411967.550518,APPL,5,1639.0,A,75
24,1473411968.335903,APPL,6,1611.0,D,75
25,1473411968.413411,APPL,6,1611.0,B,75
26,1473411968.516188,APPL,6,1611.0,C,75
27,1473411968.588516,APPL,6,1611.0,A,75
28,1473411969.314871,APPL,7,1660.0,D,75
29,1473411969.434927,APPL,7,1660.0,C,75
30,1473411969.446379,APPL,7,1660.0,B,75
31,1473411969.517406,APPL,7,1660.0,A,75
32,1473411970.358372,APPL,8,1657.0,D,75
33,1473411970.46408,APPL,8,1657.0,B,75
34,1473411970.551373,APPL,8,1657.0,A,75
35,1473411970.559408,APPL,8,1657.0,C,75
36,1473411971.207028,APPL,9,1509.0,C,75
37,1473411971.494578,APPL,9,1509.0,D,75
38,1473411971.575291,APPL,9,1509.0,A,75
39,1473411971.584922,APPL,9,1509.0,B,75
40,1473411972.38562,APPL,10,1514.0,A,76
41,1473411972.456525,APPL,10,1514.0,C,76
42,1473411972.460115,APPL,10,1514.0,D,76
43,1473411972.536384,APPL,10,1514.0,B,76
44,1473411973.139858,APPL,11,1676.0,D,76
45,1473411973.444415,APPL,11,1676.0,B,76
46,1473411973.532406,APPL,11,1676.0,A,76
47,1473411973.597733,APPL,11,1676.0,C,76
48,1473411974.294495,APPL,12,1596.0,C,76
49,1473411974.35489,APPL,12,1596.0,D,76
50,1473411974.409223,APPL,12,1596.0,B,76
51,1473411974.599135,APPL,12,1596.0,A,76
52,1473411975.267258,APPL,13,1527.0,D,76
53,1473411975.288154,APPL,13,1527.0,C,76
54,1473411975.348603,APPL,13,1527.0,A,76
55,1473411975.397198,APPL,13,1527.0,B,76
56,1473411976.376163,APPL,14,1643.0,A,76
57,1473411976.404743,APPL,14,1643.0,C,76
58,1473411976.432081,APPL,14,1643.0,B,76
59,1473411976.456708,APPL,14,1643.0,D,76
60,1473411977.276572,APPL,15,1632.0,C,76
61,1473411977.307498,APPL,15,1632.0,A,76
62,1473411977.324782,APPL,15,1632.0,D,76
63,1473411977.49116,APPL,15,1632.0,B,76
64,1473411978.371325,APPL,16,1595.0,D,76
65,1473411978.385808,APPL,16,1595.0,B,76
66,1473411978.397272,APPL,16,1595.0,C,76
67,1473411978.555057,APPL,16,1595.0,A,76
68,1473411979.221565,APPL,17,1565.0,C,76
69,1473411979.393288,APPL,17,1565.0,B,76
70,1473411979.420952,APPL,17,1565.0,A,76
71,1473411979.488492,APPL,17,1565.0,D,76
72,1473411980.186079,APPL,18,1521.0,D,76
73,1473411980.393545,APPL,18,1521.0,A,76
74,1473411980.430317,APPL,18,1521.0,C,76
75,1473411980.447716,APPL,18,1521.0,B,76
76,1473411981.238815,APPL,19,1501.0,D,76
77,1473411981.363364,APPL,19,1501.0,A,76
78,1473411981.552002,APPL,19,1501.0,C,76
79,1473411981.582743,APPL,19,1501.0,B,76
80,1473411982.214988,APPL,20,1579.0,C,76
81,1473411982.347832,APPL,20,1579.0,B,76
82,1473411982.47766,APPL,20,1579.0,D,76
83,1473411982.545507,APPL,20,1579.0,A,76
84,1473411983.337392,APPL,21,1511.0,A,76
85,1473411983.430552,APPL,21,1511.0,D,76
86,1473411983.455068,APPL,21,1511.0,C,76
87,1473411983.476611,APPL,21,1511.0,B,76
88,1473411984.314665,APPL,22,1513.0,B,76
89,1473411984.446611,APPL,22,1513.0,D,76
90,1473411984.487437,APPL,22,1513.0,C,76
91,1473411984.509265,APPL,22,1513.0,A,76
92,1473411985.395102,APPL,23,1687.0,C,76
93,1473411985.435977,APPL,23,1687.0,A,76
94,1473411985.493551,APPL,23,1687.0,B,76
95,1473411985.571222,APPL,23,1687.0,D,76
96,1473411986.376428,APPL,24,1539.0,D,76
97,1473411986.487427,APPL,24,1539.0,A,76
98,1473411986.505512,APPL,24,1539.0,C,76
99,1473411986.599809,APPL,24,1539.0,B,76
100,1473411987.365689,APPL,25,1682.0,B,76
101,1473411987.40666,APPL,25,1682.0,D,76
102,1473411987.538871,APPL,25,1682.0,A,76
103,1473411987.549583,APPL,25,1682.0,C,76
104,1473411988.187372,APPL,26,1534.0,D,76
105,1473411988.343433,APPL,26,1534.0,C,76
106,1473411988.38476,APPL,26,1534.0,B,76
107,1473411988.551288,APPL,26,1534.0,A,76
108,1473411989.308061,APPL,27,1628.0,C,76
109,1473411989.462343,APPL,27,1628.0,A,76
110,1473411989.505534,APPL,27,1628.0,B,76
111,1473411989.576097,APPL,27,1628.0,D,76
112,1473411990.167153,APPL,28,1582.0,D,76
113,1473411990.332919,APPL,28,1582.0,A,76
114,1473411990.364045,APPL,28,1582.0,B,76
115,1473411990.542921,APPL,28,1582.0,C,76
116,1473411991.283553,APPL,29,1540.0,D,76
117,1473411991.347788,APPL,29,1540.0,C,76
118,1473411991.379874,APPL,29,1540.0,A,76
119,1473411991.429737,APPL,29,1540.0,B,76
120,1473411992.274356,APPL,30,1631.0,D,76
121,1473411992.287377,APPL,30,1631.0,C,76
122,1473411992.422632,APPL,30,1631.0,A,76
123,1473411992.494023,APPL,30,1631.0,B,76
124,1473411993.227295,APPL,31,1541.0,C,76
125,1473411993.352113,APPL,31,1541.0,D,76
126,1473411993.466168,APPL,31,1541.0,B,76
127,1473411993.507846,APPL,31,1541.0,A,76
128,1473411994.408794,APPL,32,1593.0,B,76
129,1473411994.47708,APPL,32,1593.0,D,76
130,1473411994.544723,APPL,32,1593.0,C,76
131,1473411994.581912,APPL,32,1593.0,A,76
132,1473411995.274039,APPL,33,1578.0,C,76
133,1473411995.522954,APPL,33,1578.0,D,76
134,1473411995.595844,APPL,33,1578.0,A,76
135,1473411995.599075,APPL,33,1578.0,B,76
136,1473411996.291139,APPL,34,1522.0,D,76
137,1473411996.417543,APPL,34,1522.0,B,76
138,1473411996.479907,APPL,34,1522.0,C,76
139,1473411996.519866,APPL,34,1522.0,A,76
140,1473411997.399229,APPL,35,1543.0,C,76
141,1473411997.496309,APPL,35,1543.0,D,76
142,1473411997.582502,APPL,35,1543.0,B,76
143,1473411997.588677,APPL,35,1543.0,A,76
144,1473411998.169527,APPL,36,1668.0,D,76
145,1473411998.474651,APPL,36,1668.0,C,76
146,1473411998.548709,APPL,36,1668.0,B,76
147,1473411998.57933,APPL,36,1668.0,A,76
148,1473411999.35596,APPL,37,1517.0,B,76
149,1473411999.39072,APPL,37,1517.0,C,76
150,1473411999.44973,APPL,37,1517.0,A,76
151,1473411999.50815,APPL,37,1517.0,D,76
152,1473412000.225137,APPL,38,1573.0,D,76
153,1473412000.331393,APPL,38,1573.0,A,76
154,1473412000.349915,APPL,38,1573.0,B,76
155,1473412000.399824,APPL,38,1573.0,C,76
156,1473412001.265649,APPL,39,1638.0,C,76
157,1473412001.314161,APPL,39,1638.0,B,76
158,1473412001.529481,APPL,39,1638.0,D,76
159,1473412001.588143,APPL,39,1638.0,A,76
160,1473412002.169058,APPL,40,1687.0,D,76
161,1473412002.353693,APPL,40,1687.0,A,76
162,1473412002.397445,APPL,40,1687.0,C,76
163,1473412002.419151,APPL,40,1687.0,B,76
164,1473412003.305734,APPL,41,1662.0,A,76
165,1473412003.3369,APPL,41,1662.0,B,76
166,1473412003.491384,APPL,41,1662.0,C,76
167,1473412003.534617,APPL,41,1662.0,D,76
168,1473412004.30208,APPL,42,1593.0,C,76
169,1473412004.51435,APPL,42,1593.0,D,76
170,1473412004.536447,APPL,42,1593.0,B,76
